[["timestamp","original","statuscode","mimetype","digest"],
["20240603065229","https://www.binance.com/en/fee/tradingPromote","200","text/html","KGJH7I55KSHVD23XWYMKTOXJYXEOUABR"],
["20240717121302","https://www.binance.com/en/fee/tradingPromote","200","text/html","JAE7E5SXJ25KKEY4FVLL7VZ5ADJYUHF4"],
["20240717200532","https://www.binance.com/en/fee/tradingPromote","200","text/html","CUMLGC7NWRMILDFTZ3VLRSXPJIR52NYW"],
["20240913180059","https://www.binance.com/en/fee/tradingPromote","200","text/html","6CEXXFHYZVNO4PJJVTROAXJ4DI2XFAT5"],
["20250118100211","https://www.binance.com/en/fee/tradingPromote","200","text/html","5J2P3W46EI4EPCY62U44YYDNFGLOPVRJ"],
["20250214161311","https://www.binance.com/en/fee/tradingPromote","200","text/html","5H5JIXKRNQWVGXPHP7HJHJSVX3VPGWAZ"],
["20250310174913","https://www.binance.com/en/fee/tradingPromote","200","text/html","3YHSXN3BSA6ACATJ7RBMISH5OTOMW34K"],
["20250417075947","https://www.binance.com/en/fee/tradingPromote","202","text/html","3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ"],
["20250519134848","https://www.binance.com/en/fee/tradingPromote","202","text/html","7CNBTKDT4PJWRG5X36EJBUC3IN4VOBWK"],
["20250519134853","https://www.binance.com/en/fee/tradingPromote","200","text/html","FFXTRUD3KQZZWSQEOBW5MJPX34DIIHI5"],
["20250706155150","https://www.binance.com/en/fee/tradingPromote","202","text/html","3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ"],
["20260307221941","https://www.binance.com/en/fee/tradingPromote","202","text/html","QKNEHOJYMQBA25D6O7ZQESSPWQI3JKAM"],
["20260307221942","https://www.binance.com/en/fee/tradingPromote","200","text/html","76QQX726VEVV542JWCMD4B5AWH4CCJC2"],
["20260806015434","https://www.binance.com/en/fee/tradingPromote","202","text/html","3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ"],
["20260828103814","https://www.binance.com/en/fee/tradingPromote","202","text/html","R3ZH6COC2RECD6FKEEWY7G5L3LZFA4XH"],
["20260828103815","https://www.binance.com/en/fee/tradingPromote","200","text/html","PCLCB7JNZVCU5PABDL3GMHHV5EDAZ4VE"],
["20260831075418","https://www.binance.com/en/fee/tradingPromote","202","text/html","LSDQI5VF2DBXGRLOQ7A3MZPTGLG2NMVZ"],
["20260831075419","https://www.binance.com/en/fee/tradingPromote","200","text/html","MM76ZMHDEED2WQAC5Q33FGHZEJ463UXA"]]
